path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constant\Constant_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\constructor\Constructor_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\low-level-call\to-target\parameter\Parameter_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\baseline\Cast_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\single-function\method-invocation\folded\CastFolded_ree3,vandal,1,0,0,0,1
